#Pixel number	Pixel number					Wavelength (Å)
#(unwindowed CCD)	(CCD window [*,800:3300])	
1571	772						4427.05
1607	808						4545.05
1642	843						4657.9
1675	876						4764.87
1687	888						4806.02
1700	901						4847.81
1751	952						5017.16
1765	966						5062.04
1929	1130					5606.73
1942	1143					5650.71
2013	1214					5888.58
2097	1298					6172.03
2161	1362					6384.72
2170	1371					6416.31
2246	1447					6677.28
2269	1470					6752.83
2304	1505					6871.29
2331	1532					6965.43
2351	1552					7030.25
2361	1562					7067.22
2385	1586					7147.04
2402	1603					7206.98
2422	1623					7272.94
2454	1655					7383.98
2527	1728					7635.12
2553	1754					7723.98
2618	1819					7948.18
2710	1911					8264.52
2784	1985					8521.44
2826	2027					8667.94
2956	2157					9122.97
2985	2186					9224.5
3004	2205					9291.53
3022	2223					9354.22
